Player,Season,Round,AF
Daniel Connors,2010,Round 1,77
Daniel Jackson,2010,Round 1,85
Brett Deledio,2010,Round 1,94
Ben Cousins,2010,Round 1,65
Trent Cotchin,2010,Round 1,65
Dustin Martin,2010,Round 1,62
Shane Edwards,2010,Round 1,56
Adam Thomson,2010,Round 1,77
Luke McGuane,2010,Round 1,61
Robin Nahas,2010,Round 1,56
Richard Tambling,2010,Round 1,76
Jack Riewoldt,2010,Round 1,71
Chris Newman,2010,Round 1,37
Tom Hislop,2010,Round 1,49
Mitch Farmer,2010,Round 1,33
Kelvin Moore,2010,Round 1,41
Ben Nason,2010,Round 1,49
Troy Simmonds,2010,Round 1,41
Will Thursfield,2010,Round 1,37
Mitch Morton,2010,Round 1,52
Relton Roberts,2010,Round 1,38
Tyrone Vickery,2010,Round 1,28
Andrew Carrazzo,2010,Round 1,131
Heath Scotland,2010,Round 1,124
Kade Simpson,2010,Round 1,119
Ryan Houlihan,2010,Round 1,99
Brock McLean,2010,Round 1,93
Jordan Russell,2010,Round 1,101
Paul Bower,2010,Round 1,118
Marc Murphy,2010,Round 1,93
Bryce Gibbs,2010,Round 1,106
Bret Thornton,2010,Round 1,90
Eddie Betts,2010,Round 1,110
Andrew Walker,2010,Round 1,74
Jarrad Waite,2010,Round 1,88
Robert Warnock,2010,Round 1,85
Joe Anderson,2010,Round 1,64
Matthew Kreuzer,2010,Round 1,89
Mitch Robinson,2010,Round 1,78
Setanta O'hAilpin,2010,Round 1,78
Christopher Yarran,2010,Round 1,76
Aaron Joseph,2010,Round 1,45
Lachlan Henderson,2010,Round 1,49
Michael Jamison,2010,Round 1,28
Gary Ablett,2010,Round 1,129
Cameron Ling,2010,Round 1,87
Jimmy Bartel,2010,Round 1,114
Paul Chapman,2010,Round 1,105
Joel Corey,2010,Round 1,80
Corey Enright,2010,Round 1,90
Shannon Byrnes,2010,Round 1,141
Steve Johnson,2010,Round 1,96
Joel Selwood,2010,Round 1,107
James Kelly,2010,Round 1,106
Andrew Mackie,2010,Round 1,79
Darren Milburn,2010,Round 1,69
Tom Lonergan,2010,Round 1,58
Matthew Scarlett,2010,Round 1,50
David Wojcinski,2010,Round 1,43
Josh Hunt,2010,Round 1,46
Tom Hawkins,2010,Round 1,77
Cameron Mooney,2010,Round 1,68
Harry Taylor,2010,Round 1,57
Brad Ottens,2010,Round 1,79
Mitchell Duncan,2010,Round 1,51
Mark Blake,2010,Round 1,42
Brent Stanton,2010,Round 1,145
Andrew Welsh,2010,Round 1,75
Brent Prismall,2010,Round 1,98
David Zaharakis,2010,Round 1,82
Jobe Watson,2010,Round 1,76
David Hille,2010,Round 1,61
Jason Winderlich,2010,Round 1,58
Heath Hocking,2010,Round 1,84
Cale Hooker,2010,Round 1,68
Dustin Fletcher,2010,Round 1,64
Angus Monfries,2010,Round 1,82
Courtenay Dempsey,2010,Round 1,68
Tayte Pears,2010,Round 1,66
Ben Howlett,2010,Round 1,74
Rick Dyson,2010,Round 1,72
Kyle Reimers,2010,Round 1,80
Henry Slattery,2010,Round 1,60
Patrick Ryder,2010,Round 1,69
Alwyn Davey,2010,Round 1,37
Jay Neagle,2010,Round 1,42
Mark Williams,2010,Round 1,25
Scott Gumbleton,2010,Round 1,17
Cameron Bruce,2010,Round 1,88
James Frawley,2010,Round 1,86
Jack Trengove,2010,Round 1,65
Brent Moloney,2010,Round 1,86
James McDonald,2010,Round 1,99
Joel Macdonald,2010,Round 1,63
Jack Grimes,2010,Round 1,93
Tom Scully,2010,Round 1,61
Nathan Jones,2010,Round 1,59
Jared Rivers,2010,Round 1,57
Aaron Davey,2010,Round 1,69
Lynden Dunn,2010,Round 1,87
Matthew Bate,2010,Round 1,60
Jordie McKenzie,2010,Round 1,105
Brad Green,2010,Round 1,88
Jamie Bennell,2010,Round 1,58
Mark Jamar,2010,Round 1,79
Matthew Warnock,2010,Round 1,33
Ricky Petterd,2010,Round 1,80
Brad Miller,2010,Round 1,45
James Strauss,2010,Round 1,46
Jake Spencer,2010,Round 1,9
Luke Hodge,2010,Round 1,142
Sam Mitchell,2010,Round 1,112
Jordan Lewis,2010,Round 1,109
Grant Birchall,2010,Round 1,106
Josh Gibson,2010,Round 1,83
Matthew Suckling,2010,Round 1,84
Rick Ladson,2010,Round 1,86
Thomas Murphy,2010,Round 1,86
Xavier Ellis,2010,Round 1,84
Ryan Schoenmakers,2010,Round 1,94
Jarryd Morton,2010,Round 1,79
Carl Peterson,2010,Round 1,67
Jarrod K-Thomson,2010,Round 1,65
Garry Moss,2010,Round 1,80
Brent Guerra,2010,Round 1,62
Stephen Gilham,2010,Round 1,81
Liam Shiels,2010,Round 1,70
Jarryd Roughead,2010,Round 1,91
Rhan Hooper,2010,Round 1,87
Campbell Brown,2010,Round 1,94
Michael Osborne,2010,Round 1,47
Brent Renouf,2010,Round 1,54
Jared Brennan,2010,Round 1,121
Michael Rischitelli,2010,Round 1,114
Simon Black,2010,Round 1,74
Josh Drummond,2010,Round 1,89
Travis Johnstone,2010,Round 1,92
Justin Sherman,2010,Round 1,96
Jonathan Brown,2010,Round 1,138
Luke Power,2010,Round 1,95
Brendan Fevola,2010,Round 1,106
Daniel Rich,2010,Round 1,52
Jack Redden,2010,Round 1,75
Todd Banfield,2010,Round 1,82
Ashley McGrath,2010,Round 1,64
Matthew Leuenberger,2010,Round 1,67
Matthew Maguire,2010,Round 1,69
Andrew Raines,2010,Round 1,52
Joel Patfull,2010,Round 1,31
Brent Staker,2010,Round 1,76
Mitchell Clark,2010,Round 1,46
Jed Adcock,2010,Round 1,30
Amon Buchanan,2010,Round 1,13
Daniel Merrett,2010,Round 1,25
Adam Selwood,2010,Round 1,108
Matthew Priddis,2010,Round 1,95
Daniel Kerr,2010,Round 1,77
Sam Butler,2010,Round 1,113
Andrew Embley,2010,Round 1,83
Patrick McGinnity,2010,Round 1,76
Beau Waters,2010,Round 1,72
Shannon Hurn,2010,Round 1,80
Brad Ebert,2010,Round 1,95
Mitchell Brown,2010,Round 1,54
Chris Masten,2010,Round 1,51
Luke Shuey,2010,Round 1,85
Mark Nicoski,2010,Round 1,69
Quinten Lynch,2010,Round 1,88
Joshua Kennedy,2010,Round 1,78
Brett Jones,2010,Round 1,53
Mark Lecras,2010,Round 1,58
Nicholas Naitanui,2010,Round 1,54
Tom Swift,2010,Round 1,32
Dean Cox,2010,Round 1,52
Eric MacKenzie,2010,Round 1,46
Darren Glass,2010,Round 1,24
Ryan O'Keefe,2010,Round 1,123
Jarrad McVeigh,2010,Round 1,108
Tadhg Kennelly,2010,Round 1,108
Nick Malceski,2010,Round 1,106
Jude Bolton,2010,Round 1,94
Kieren Jack,2010,Round 1,81
Rhyce Shaw,2010,Round 1,64
Heath Grundy,2010,Round 1,65
Jarred Moore,2010,Round 1,70
Craig Bolton,2010,Round 1,49
Josh P. Kennedy,2010,Round 1,61
Adam Goodes,2010,Round 1,86
Brett Kirk,2010,Round 1,74
Mark Seaby,2010,Round 1,82
Lewis Jetta,2010,Round 1,52
Ted Richards,2010,Round 1,52
Ben McGlynn,2010,Round 1,29
Daniel Bradshaw,2010,Round 1,51
Lewis R-Thomson,2010,Round 1,35
Martin Mattner,2010,Round 1,39
Shane Mumford,2010,Round 1,66
Jesse White,2010,Round 1,37
Leigh Montagna,2010,Round 1,100
Brendon Goddard,2010,Round 1,88
Nick Riewoldt,2010,Round 1,108
Nick Dal Santo,2010,Round 1,77
Lenny Hayes,2010,Round 1,99
Sam Gilbert,2010,Round 1,103
Jason Blake,2010,Round 1,92
Jason Gram,2010,Round 1,68
Clinton Jones,2010,Round 1,70
Farren Ray,2010,Round 1,76
Andrew McQualter,2010,Round 1,75
James Gwilt,2010,Round 1,55
Jarryn Geary,2010,Round 1,60
Brett Peake,2010,Round 1,57
Adam Schneider,2010,Round 1,57
Stephen Milne,2010,Round 1,53
Zac Dawson,2010,Round 1,37
David Armitage,2010,Round 1,49
Justin Koschitzke,2010,Round 1,52
Steven Baker,2010,Round 1,41
Steven King,2010,Round 1,39
Ben McEvoy,2010,Round 1,34
Kane Cornes,2010,Round 1,131
Travis Boak,2010,Round 1,98
Steven Salopek,2010,Round 1,82
Domenic Cassisi,2010,Round 1,72
Brett Ebert,2010,Round 1,111
Jacob Surjan,2010,Round 1,68
Matt Thomas,2010,Round 1,87
Danyle Pearce,2010,Round 1,88
Mitchell Banner,2010,Round 1,79
Chad Cornes,2010,Round 1,58
Paul Stewart,2010,Round 1,77
Nathan Krakouer,2010,Round 1,44
Andrew Moore,2010,Round 1,54
Warren Tredrea,2010,Round 1,71
Jason Davenport,2010,Round 1,59
Cameron Hitchcock,2010,Round 1,63
Jay Schulz,2010,Round 1,65
Justin Westhoff,2010,Round 1,59
Alipate Carlile,2010,Round 1,28
Jackson Trengove,2010,Round 1,40
Dean Brogan,2010,Round 1,64
Scott Harding,2010,Round 1,46
Liam Anthony,2010,Round 1,132
Brady Rawlings,2010,Round 1,83
Brent Harvey,2010,Round 1,93
Lachlan Hansen,2010,Round 1,88
Ryan Bastinac,2010,Round 1,80
Jack Ziebell,2010,Round 1,92
Michael Firrito,2010,Round 1,59
Matt Campbell,2010,Round 1,67
Scott McMahon,2010,Round 1,69
Gavin Urquhart,2010,Round 1,56
Ben Ross,2010,Round 1,66
Leigh Harding,2010,Round 1,71
Daniel Wells,2010,Round 1,61
Todd Goldstein,2010,Round 1,87
Samuel Wright,2010,Round 1,46
Hamish McIntosh,2010,Round 1,88
Lindsay Thomas,2010,Round 1,83
Ben Warren,2010,Round 1,61
Leigh Adams,2010,Round 1,61
Andrew Swallow,2010,Round 1,56
Scott Thompson,2010,Round 1,40
David Hale,2010,Round 1,38
Matthew Boyd,2010,Round 1,128
Daniel Cross,2010,Round 1,107
Adam Cooney,2010,Round 1,82
Robert Murphy,2010,Round 1,111
Shaun Higgins,2010,Round 1,85
Jarrod Harbrow,2010,Round 1,74
Ryan Griffen,2010,Round 1,72
Lindsay Gilbee,2010,Round 1,65
Will Minson,2010,Round 1,70
Andrejs Everitt,2010,Round 1,54
Jason Akermanis,2010,Round 1,63
Mitch Hahn,2010,Round 1,63
Ryan Hargrave,2010,Round 1,49
Daniel Giansiracusa,2010,Round 1,63
Brad Johnson,2010,Round 1,59
Josh Hill,2010,Round 1,73
Brian Lake,2010,Round 1,55
Tom Williams,2010,Round 1,50
Ben Hudson,2010,Round 1,52
Dylan Addison,2010,Round 1,32
Liam Picken,2010,Round 1,38
Barry Hall,2010,Round 1,55
Heath Shaw,2010,Round 1,143
Dane Swan,2010,Round 1,143
Heritier Lumumba,2010,Round 1,97
Ben Johnson,2010,Round 1,87
Sharrod Wellingham,2010,Round 1,98
Alan Didak,2010,Round 1,111
Tarkyn Lockyer,2010,Round 1,74
Dale Thomas,2010,Round 1,90
Scott Pendlebury,2010,Round 1,82
Luke Ball,2010,Round 1,80
Josh Fraser,2010,Round 1,63
Nick Maxwell,2010,Round 1,77
Steele Sidebottom,2010,Round 1,49
Shane O'Bree,2010,Round 1,72
Paul Medhurst,2010,Round 1,77
Leigh Brown,2010,Round 1,57
Travis Cloke,2010,Round 1,67
Leon Davis,2010,Round 1,70
John Anthony,2010,Round 1,48
Alan Toovey,2010,Round 1,58
Darren Jolly,2010,Round 1,34
Simon Prestigiacomo,2010,Round 1,23
Michael Barlow,2010,Round 1,128
Paul Duffield,2010,Round 1,115
Greg Broughton,2010,Round 1,117
Luke McPharlin,2010,Round 1,121
David Mundy,2010,Round 1,83
Stephen Hill,2010,Round 1,81
Matthew Pavlich,2010,Round 1,92
Nicholas Suban,2010,Round 1,92
Aaron Sandilands,2010,Round 1,97
Paul Hasleby,2010,Round 1,54
Michael Johnson,2010,Round 1,73
Ryan Crowley,2010,Round 1,67
Roger Hayden,2010,Round 1,81
Chris Tarrant,2010,Round 1,83
Jay Van Berlo,2010,Round 1,46
Alex Silvagni,2010,Round 1,67
Anthony Morabito,2010,Round 1,50
Christopher Mayne,2010,Round 1,71
Hayden Ballantyne,2010,Round 1,82
Des Headland,2010,Round 1,63
Garrick Ibbotson,2010,Round 1,52
Adam McPhee,2010,Round 1,25
Tyson Edwards,2010,Round 1,99
Simon Goodwin,2010,Round 1,70
Scott Thompson,2010,Round 1,85
Bernie Vince,2010,Round 1,69
Andrew McLeod,2010,Round 1,80
Nathan Van Berlo,2010,Round 1,70
Myke Cook,2010,Round 1,65
David MacKay,2010,Round 1,71
Patrick Dangerfield,2010,Round 1,76
Brent Reilly,2010,Round 1,56
Michael Doughty,2010,Round 1,59
Nathan Bock,2010,Round 1,76
Trent Hentschel,2010,Round 1,41
Richard Douglas,2010,Round 1,44
Scott Stevens,2010,Round 1,45
Tony Armstrong,2010,Round 1,36
Taylor Walker,2010,Round 1,89
Ben Rutten,2010,Round 1,43
Jared Petrenko,2010,Round 1,43
Jonathon Griffin,2010,Round 1,53
Kurt Tippett,2010,Round 1,60
Rory Sloane,2010,Round 1,42
Luke Power,2010,Round 2,115
Travis Johnstone,2010,Round 2,89
Jared Brennan,2010,Round 2,119
Jonathan Brown,2010,Round 2,141
Andrew Raines,2010,Round 2,65
Josh Drummond,2010,Round 2,90
Simon Black,2010,Round 2,75
Daniel Merrett,2010,Round 2,63
Michael Rischitelli,2010,Round 2,96
Daniel Rich,2010,Round 2,65
Matthew Maguire,2010,Round 2,62
Joel Patfull,2010,Round 2,58
Jack Redden,2010,Round 2,49
Ashley McGrath,2010,Round 2,37
Cheynee Stiller,2010,Round 2,50
Brent Staker,2010,Round 2,52
Jed Adcock,2010,Round 2,39
Justin Sherman,2010,Round 2,30
Todd Banfield,2010,Round 2,51
Mitchell Clark,2010,Round 2,62
Matthew Leuenberger,2010,Round 2,51
Brendan Fevola,2010,Round 2,48
Marc Murphy,2010,Round 2,109
Heath Scotland,2010,Round 2,107
Bryce Gibbs,2010,Round 2,106
Brock McLean,2010,Round 2,80
Ryan Houlihan,2010,Round 2,85
Andrew Carrazzo,2010,Round 2,81
Kade Simpson,2010,Round 2,99
Jordan Russell,2010,Round 2,57
Jarrad Waite,2010,Round 2,78
Setanta O'hAilpin,2010,Round 2,94
Matthew Kreuzer,2010,Round 2,79
Bret Thornton,2010,Round 2,51
Joe Anderson,2010,Round 2,57
Mitch Robinson,2010,Round 2,60
Andrew Walker,2010,Round 2,39
Eddie Betts,2010,Round 2,45
Aaron Joseph,2010,Round 2,32
Christopher Yarran,2010,Round 2,46
Dennis Armfield,2010,Round 2,38
Lachlan Henderson,2010,Round 2,55
Robert Warnock,2010,Round 2,23
Michael Jamison,2010,Round 2,21
Dayne Beams,2010,Round 2,91
Dale Thomas,2010,Round 2,108
Sharrod Wellingham,2010,Round 2,87
Scott Pendlebury,2010,Round 2,116
Dane Swan,2010,Round 2,84
Steele Sidebottom,2010,Round 2,94
Nick Maxwell,2010,Round 2,107
Luke Ball,2010,Round 2,75
Tarkyn Lockyer,2010,Round 2,89
Heath Shaw,2010,Round 2,64
Heritier Lumumba,2010,Round 2,59
Alan Didak,2010,Round 2,52
Ben Johnson,2010,Round 2,50
Leon Davis,2010,Round 2,75
Ben Reid,2010,Round 2,48
Leigh Brown,2010,Round 2,28
Paul Medhurst,2010,Round 2,53
Travis Cloke,2010,Round 2,69
Alan Toovey,2010,Round 2,38
Josh Fraser,2010,Round 2,45
John Anthony,2010,Round 2,60
Darren Jolly,2010,Round 2,39
Aaron Davey,2010,Round 2,108
James McDonald,2010,Round 2,107
Brent Moloney,2010,Round 2,83
Jack Grimes,2010,Round 2,94
Brad Green,2010,Round 2,115
Cameron Bruce,2010,Round 2,58
Joel Macdonald,2010,Round 2,80
Nathan Jones,2010,Round 2,62
Jordie McKenzie,2010,Round 2,112
Ricky Petterd,2010,Round 2,110
Matthew Bate,2010,Round 2,65
James Frawley,2010,Round 2,58
Rohan Bail,2010,Round 2,67
Tom Scully,2010,Round 2,57
Mark Jamar,2010,Round 2,83
Jack Trengove,2010,Round 2,69
Lynden Dunn,2010,Round 2,67
Matthew Warnock,2010,Round 2,37
Clint Bartram,2010,Round 2,49
Jamie Bennell,2010,Round 2,41
James Strauss,2010,Round 2,26
Michael Newton,2010,Round 2,28
Adam Selwood,2010,Round 2,130
Andrew Embley,2010,Round 2,102
Beau Waters,2010,Round 2,84
Brad Ebert,2010,Round 2,96
Matthew Priddis,2010,Round 2,79
Patrick McGinnity,2010,Round 2,82
Nicholas Naitanui,2010,Round 2,100
Daniel Kerr,2010,Round 2,62
Chris Masten,2010,Round 2,71
Brett Jones,2010,Round 2,60
Shannon Hurn,2010,Round 2,72
Mitchell Brown,2010,Round 2,72
Tom Swift,2010,Round 2,65
Eric MacKenzie,2010,Round 2,62
Luke Shuey,2010,Round 2,64
Sam Butler,2010,Round 2,56
Scott Selwood,2010,Round 2,68
Joshua Kennedy,2010,Round 2,73
Darren Glass,2010,Round 2,31
Mark Nicoski,2010,Round 2,21
Dean Cox,2010,Round 2,45
Matthew Spangher,2010,Round 2,35
Troy Chaplin,2010,Round 2,103
Justin Westhoff,2010,Round 2,121
Travis Boak,2010,Round 2,104
Tom Logan,2010,Round 2,72
Steven Salopek,2010,Round 2,70
Chad Cornes,2010,Round 2,69
Alipate Carlile,2010,Round 2,62
Danyle Pearce,2010,Round 2,85
Matt Thomas,2010,Round 2,75
Kane Cornes,2010,Round 2,109
Jacob Surjan,2010,Round 2,77
Nathan Krakouer,2010,Round 2,68
Jason Davenport,2010,Round 2,124
Mitchell Banner,2010,Round 2,48
Brett Ebert,2010,Round 2,80
Jay Schulz,2010,Round 2,78
Dean Brogan,2010,Round 2,57
Domenic Cassisi,2010,Round 2,46
Paul Stewart,2010,Round 2,39
Jackson Trengove,2010,Round 2,15
Cameron Hitchcock,2010,Round 2,43
Warren Tredrea,2010,Round 2,22
Leigh Montagna,2010,Round 2,134
Nick Dal Santo,2010,Round 2,144
Brendon Goddard,2010,Round 2,137
Jason Gram,2010,Round 2,98
James Gwilt,2010,Round 2,104
Sam Gilbert,2010,Round 2,102
Farren Ray,2010,Round 2,88
Stephen Milne,2010,Round 2,109
Nick Riewoldt,2010,Round 2,147
David Armitage,2010,Round 2,103
Lenny Hayes,2010,Round 2,75
Steven Baker,2010,Round 2,82
Adam Schneider,2010,Round 2,78
Clinton Jones,2010,Round 2,78
Jason Blake,2010,Round 2,68
Brett Peake,2010,Round 2,78
Zac Dawson,2010,Round 2,60
Jarryn Geary,2010,Round 2,51
Andrew McQualter,2010,Round 2,66
Michael S. Gardiner,2010,Round 2,59
Adam Pattison,2010,Round 2,21
Ben McEvoy,2010,Round 2,28
Brady Rawlings,2010,Round 2,122
Liam Anthony,2010,Round 2,75
Michael Firrito,2010,Round 2,77
Scott Thompson,2010,Round 2,71
Lachlan Hansen,2010,Round 2,80
Andrew Swallow,2010,Round 2,99
Hamish McIntosh,2010,Round 2,76
Nathan Grima,2010,Round 2,71
Daniel Wells,2010,Round 2,63
Todd Goldstein,2010,Round 2,86
Matt Campbell,2010,Round 2,56
Ben Warren,2010,Round 2,61
Ryan Bastinac,2010,Round 2,45
Lindsay Thomas,2010,Round 2,50
Samuel Wright,2010,Round 2,40
David Hale,2010,Round 2,76
Gavin Urquhart,2010,Round 2,52
Leigh Adams,2010,Round 2,52
Jack Ziebell,2010,Round 2,34
Ben Ross,2010,Round 2,32
Corey Jones,2010,Round 2,59
Brent Harvey,2010,Round 2,18
Scott Thompson,2010,Round 2,94
Simon Goodwin,2010,Round 2,63
Richard Douglas,2010,Round 2,84
Nathan Bock,2010,Round 2,76
David MacKay,2010,Round 2,62
Brent Reilly,2010,Round 2,93
Andrew McLeod,2010,Round 2,71
Myke Cook,2010,Round 2,40
Tyson Edwards,2010,Round 2,72
Michael Doughty,2010,Round 2,58
Ben Rutten,2010,Round 2,64
Bernie Vince,2010,Round 2,65
Patrick Dangerfield,2010,Round 2,94
Trent Hentschel,2010,Round 2,55
Brett Burton,2010,Round 2,60
Jason Porplyzia,2010,Round 2,65
Jared Petrenko,2010,Round 2,64
Ivan Maric,2010,Round 2,76
Taylor Walker,2010,Round 2,48
Will Young,2010,Round 2,36
James Sellar,2010,Round 2,24
Kurt Tippett,2010,Round 2,40
Ryan O'Keefe,2010,Round 2,130
Heath Grundy,2010,Round 2,110
Ben McGlynn,2010,Round 2,134
Daniel Hannebery,2010,Round 2,84
Adam Goodes,2010,Round 2,100
Jarrad McVeigh,2010,Round 2,72
Nick Malceski,2010,Round 2,78
Mark Seaby,2010,Round 2,127
Josh P. Kennedy,2010,Round 2,92
Brett Kirk,2010,Round 2,65
Tadhg Kennelly,2010,Round 2,59
Jarred Moore,2010,Round 2,69
Lewis Jetta,2010,Round 2,64
Martin Mattner,2010,Round 2,55
Rhyce Shaw,2010,Round 2,61
Kieren Jack,2010,Round 2,73
Craig Bolton,2010,Round 2,36
Jude Bolton,2010,Round 2,53
Lewis R-Thomson,2010,Round 2,64
Jesse White,2010,Round 2,53
Shane Mumford,2010,Round 2,55
Daniel Bradshaw,2010,Round 2,41
Jobe Watson,2010,Round 2,82
Brent Prismall,2010,Round 2,97
Brent Stanton,2010,Round 2,93
Courtenay Dempsey,2010,Round 2,81
Rick Dyson,2010,Round 2,94
Heath Hocking,2010,Round 2,96
Tayte Pears,2010,Round 2,70
Cale Hooker,2010,Round 2,60
Ben Howlett,2010,Round 2,63
Andrew Welsh,2010,Round 2,56
Angus Monfries,2010,Round 2,84
Dustin Fletcher,2010,Round 2,40
Mark McVeigh,2010,Round 2,62
Jason Winderlich,2010,Round 2,82
David Myers,2010,Round 2,50
David Hille,2010,Round 2,65
Alwyn Davey,2010,Round 2,58
David Zaharakis,2010,Round 2,67
Scott Gumbleton,2010,Round 2,76
Mark Williams,2010,Round 2,33
Henry Slattery,2010,Round 2,52
Patrick Ryder,2010,Round 2,59
Michael Barlow,2010,Round 2,127
Paul Hasleby,2010,Round 2,113
Greg Broughton,2010,Round 2,89
Aaron Sandilands,2010,Round 2,123
Stephen Hill,2010,Round 2,63
Luke McPharlin,2010,Round 2,57
Roger Hayden,2010,Round 2,48
Matthew Pavlich,2010,Round 2,76
Michael Johnson,2010,Round 2,78
Chris Tarrant,2010,Round 2,48
David Mundy,2010,Round 2,61
Anthony Morabito,2010,Round 2,63
Christopher Mayne,2010,Round 2,66
Hayden Ballantyne,2010,Round 2,99
Alex Silvagni,2010,Round 2,78
Paul Duffield,2010,Round 2,55
Ryan Crowley,2010,Round 2,65
Des Headland,2010,Round 2,50
Adam McPhee,2010,Round 2,54
Jay Van Berlo,2010,Round 2,32
Nicholas Suban,2010,Round 2,25
Garrick Ibbotson,2010,Round 2,13
Chris Newman,2010,Round 2,93
Daniel Jackson,2010,Round 2,70
Brett Deledio,2010,Round 2,75
Daniel Connors,2010,Round 2,72
Trent Cotchin,2010,Round 2,99
Dustin Martin,2010,Round 2,66
Kelvin Moore,2010,Round 2,93
Adam Thomson,2010,Round 2,59
Luke McGuane,2010,Round 2,66
Shane Edwards,2010,Round 2,62
Richard Tambling,2010,Round 2,49
Mitch Morton,2010,Round 2,69
Mitch Farmer,2010,Round 2,42
Ben Nason,2010,Round 2,68
Robin Nahas,2010,Round 2,58
Tom Hislop,2010,Round 2,39
Jack Riewoldt,2010,Round 2,61
Jake King,2010,Round 2,30
Troy Simmonds,2010,Round 2,32
Will Thursfield,2010,Round 2,26
Jayden Post,2010,Round 2,37
Tyrone Vickery,2010,Round 2,23
Lindsay Gilbee,2010,Round 2,130
Daniel Cross,2010,Round 2,100
Matthew Boyd,2010,Round 2,105
Adam Cooney,2010,Round 2,115
Jason Akermanis,2010,Round 2,83
Daniel Giansiracusa,2010,Round 2,89
Mitch Hahn,2010,Round 2,123
Shaun Higgins,2010,Round 2,114
Ryan Griffen,2010,Round 2,92
Robert Murphy,2010,Round 2,93
Brodie Moles,2010,Round 2,82
Brian Lake,2010,Round 2,96
Ryan Hargrave,2010,Round 2,69
Andrejs Everitt,2010,Round 2,70
Ben Hudson,2010,Round 2,64
Jarrod Harbrow,2010,Round 2,74
Tom Williams,2010,Round 2,54
Liam Picken,2010,Round 2,42
Josh Hill,2010,Round 2,71
Will Minson,2010,Round 2,49
Barry Hall,2010,Round 2,52
Dale Morris,2010,Round 2,59
Sam Mitchell,2010,Round 2,98
Xavier Ellis,2010,Round 2,82
Luke Hodge,2010,Round 2,101
Chance Bateman,2010,Round 2,80
Jordan Lewis,2010,Round 2,68
Grant Birchall,2010,Round 2,70
Carl Peterson,2010,Round 2,73
Rick Ladson,2010,Round 2,60
Thomas Murphy,2010,Round 2,77
Ryan Schoenmakers,2010,Round 2,77
Brent Guerra,2010,Round 2,64
Lance Franklin,2010,Round 2,67
Brent Renouf,2010,Round 2,74
Jarryd Roughead,2010,Round 2,84
Josh Gibson,2010,Round 2,48
Jarryd Morton,2010,Round 2,80
Liam Shiels,2010,Round 2,65
Michael Osborne,2010,Round 2,52
Stephen Gilham,2010,Round 2,34
Cyril Rioli,2010,Round 2,71
Campbell Brown,2010,Round 2,15
Rhan Hooper,2010,Round 2,7
Gary Ablett,2010,Round 2,120
Corey Enright,2010,Round 2,97
Paul Chapman,2010,Round 2,102
Jimmy Bartel,2010,Round 2,132
Joel Corey,2010,Round 2,96
Harry Taylor,2010,Round 2,99
Joel Selwood,2010,Round 2,90
James Kelly,2010,Round 2,82
Cameron Ling,2010,Round 2,76
Josh Hunt,2010,Round 2,66
Andrew Mackie,2010,Round 2,62
Steve Johnson,2010,Round 2,69
Shannon Byrnes,2010,Round 2,90
Mitchell Duncan,2010,Round 2,77
David Wojcinski,2010,Round 2,62
Tom Lonergan,2010,Round 2,53
Matthew Scarlett,2010,Round 2,41
Brad Ottens,2010,Round 2,89
Cameron Mooney,2010,Round 2,103
Tom Hawkins,2010,Round 2,50
Mark Blake,2010,Round 2,40
Steven Motlop,2010,Round 2,13
Sam Gilbert,2010,Round 3,152
Jason Gram,2010,Round 3,101
Steven Baker,2010,Round 3,115
Sam Fisher,2010,Round 3,106
Lenny Hayes,2010,Round 3,88
Nick Dal Santo,2010,Round 3,112
James Gwilt,2010,Round 3,103
Brendon Goddard,2010,Round 3,97
Leigh Montagna,2010,Round 3,106
Jason Blake,2010,Round 3,98
Clinton Jones,2010,Round 3,91
Stephen Milne,2010,Round 3,75
Farren Ray,2010,Round 3,80
Jarryn Geary,2010,Round 3,63
Steven King,2010,Round 3,63
David Armitage,2010,Round 3,54
Brett Peake,2010,Round 3,63
Andrew McQualter,2010,Round 3,52
Michael S. Gardiner,2010,Round 3,62
Adam Schneider,2010,Round 3,49
Zac Dawson,2010,Round 3,21
Nick Riewoldt,2010,Round 3,20
Luke Ball,2010,Round 3,98
Dane Swan,2010,Round 3,112
Sharrod Wellingham,2010,Round 3,85
Alan Didak,2010,Round 3,84
Heritier Lumumba,2010,Round 3,66
Steele Sidebottom,2010,Round 3,85
Travis Cloke,2010,Round 3,85
Dale Thomas,2010,Round 3,78
Brent Macaffer,2010,Round 3,54
Nick Maxwell,2010,Round 3,67
Scott Pendlebury,2010,Round 3,70
Josh Fraser,2010,Round 3,54
Shane O'Bree,2010,Round 3,33
Paul Medhurst,2010,Round 3,49
Darren Jolly,2010,Round 3,68
Tarkyn Lockyer,2010,Round 3,42
John McCarthy,2010,Round 3,59
Leigh Brown,2010,Round 3,39
Dayne Beams,2010,Round 3,55
Leon Davis,2010,Round 3,55
Alan Toovey,2010,Round 3,39
Simon Prestigiacomo,2010,Round 3,23
Brent Harvey,2010,Round 3,163
Andrew Swallow,2010,Round 3,119
Daniel Wells,2010,Round 3,116
Brady Rawlings,2010,Round 3,103
Michael Firrito,2010,Round 3,100
Liam Anthony,2010,Round 3,115
Ryan Bastinac,2010,Round 3,86
Nathan Grima,2010,Round 3,78
Gavin Urquhart,2010,Round 3,89
Jack Ziebell,2010,Round 3,85
